County Name,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance,"178,943",15,1.70%,15,16.50%,16,"25,300",14,40.12,70,40.09,70,20.70%,37,20.90%,34,18.80%,76,18.50%,76,5.30%,83,5.50%,81,28.80%,47,26.20%,45,14.50%,65,14.80%,63,11.40%,22,13.10%,27,370,82,627,25,39.5,49,67,82,46.40%,76,46.40%,76,10.10%,21,45.90%,35,54.00%,56,80.80%,31,80.10%,32,94.50%,24,34.70%,44,17.60%,21,18.30%,30,"48,118",48,"44,418",46,64.60%,45,65.00%,46,84.50%,87,86.20%,94,3.50%,51,3.60%,51,974,22,937,17,0.432,13,0.65,45,590.2,89,591.4,84,"90,806",78,"89,600",74,6.75%
Alexander,"36,560",67,0.30%,67,-0.80%,61,-277,61,44.16,34,44.03,35,18.70%,68,18.80%,68,21.50%,47,21.20%,46,5.90%,61,6.00%,63,27.20%,37,24.70%,35,12.50%,26,13.60%,38,11.60%,23,13.50%,31,803,18,301,52,21.3,13,8,25,33.80%,93,34.30%,93,16.30%,71,35.30%,77,48.40%,77,77.70%,47,76.90%,48,69.30%,70,33.30%,33,18.30%,28,16.80%,24,"46,513",63,"42,147",61,46.60%,82,44.70%,82,84.20%,85,83.10%,62,3.00%,14,3.20%,11,822,80,761,84,0.67,55,0.79,79,618.7,84,611,79,"78,323",94,"77,345",91,7.00%
Alleghany,"11,142",94,0.10%,94,2.40%,49,266,52,46.46,18,46.69,17,17.20%,82,17.10%,84,27.00%,16,26.90%,14,7.30%,29,7.40%,29,30.30%,53,28.60%,57,17.00%,90,19.50%,96,15.80%,93,17.50%,96,485,59,45,94,18,8,2,2,98.60%,14,95.90%,19,16.00%,66,33.20%,84,37.50%,99,72.80%,72,69.10%,84,96.60%,15,47.70%,92,28.40%,77,30.70%,88,"45,206",71,"42,648",59,75.00%,22,73.90%,23,77.20%,14,80.80%,33,4.40%,82,3.70%,52,763,95,716,95,0.597,36,0.597,28,1079.5,12,1050,13,"180,812",15,"175,883",16,7.00%
Anson,"21,433",77,0.20%,77,-15.60%,94,"-3,976",92,40.45,68,40.48,68,21.40%,27,21.40%,29,19.70%,61,19.60%,59,6.50%,45,6.60%,45,44.60%,95,41.80%,95,12.80%,35,13.30%,33,12.50%,39,14.50%,58,309,88,63,91,24.5,21,6,19,101.30%,13,101.30%,13,15.50%,62,25.00%,99,46.20%,81,72.80%,73,70.90%,75,58.70%,82,47.30%,91,30.50%,84,29.30%,82,"47,744",50,"42,055",63,51.40%,75,53.00%,73,81.30%,42,82.50%,54,4.00%,76,4.20%,76,836,73,777,76,0.777,78,0.777,75,782.3,51,779.3,42,"100,290",66,"100,290",61,7.00%
Ashe,"26,685",73,0.20%,73,-0.30%,58,-72,59,48.25,12,48.18,12,16.90%,85,17.10%,86,27.10%,14,26.80%,15,5.90%,60,6.10%,61,26.80%,36,25.80%,40,13.80%,57,16.50%,80,13.10%,50,14.00%,43,695,30,189,69,18.4,9,5,15,129.50%,3,126.70%,3,5.60%,4,43.20%,45,62.00%,28,76.70%,51,77.00%,46,99.10%,6,38.70%,59,22.40%,55,22.40%,60,"44,203",80,"41,284",72,77.30%,16,75.30%,19,78.60%,23,78.50%,14,2.90%,6,3.20%,15,803,88,753,88,0.44,14,0.51,15,822.5,42,806.5,37,"161,278",20,"158,140",19,7.00%
Avery,"17,951",84,0.20%,84,1.10%,52,188,53,45.83,23,45.71,24,15.10%,96,15.00%,97,23.10%,32,22.80%,32,5.70%,72,5.80%,73,22.40%,17,20.50%,14,16.30%,87,19.20%,95,13.10%,50,14.00%,43,604,44,106,77,11.4,3,2,2,85.40%,29,85.40%,28,5.90%,6,40.20%,57,41.30%,92,74.80%,62,74.20%,62,83.60%,47,40.40%,69,24.00%,60,23.80%,66,"43,022",89,"40,197",81,78.50%,13,76.80%,17,78.90%,26,77.50%,10,2.90%,8,3.40%,26,789,92,739,93,0.4,9,0.4,5,1316.9,4,1312.7,4,"329,217",2,"238,675",5,6.75%
Beaufort,"44,244",57,0.40%,57,-5.40%,77,"-2,546",85,46.26,20,46.19,20,19.20%,61,19.40%,59,26.50%,18,26.20%,17,7.20%,30,7.30%,30,33.80%,70,31.60%,72,13.70%,56,14.40%,52,13.20%,55,14.00%,43,898,11,422,41,38.3,45,18,37,46.60%,75,46.60%,75,13.50%,47,40.00%,60,53.20%,59,76.60%,53,74.90%,57,48.70%,90,36.40%,48,32.00%,90,29.00%,81,"54,165",21,"49,748",22,72.20%,29,72.80%,27,85.50%,90,86.20%,94,4.00%,77,3.90%,62,871,47,805,55,0.625,44,0.625,40,885.9,31,855.7,31,"141,743",33,"136,913",32,6.75%
Bertie,"16,655",86,0.20%,86,-16.40%,96,"-3,277",88,40.03,71,40.03,71,20.10%,48,20.00%,51,21.00%,51,20.70%,51,6.30%,51,6.40%,53,41.40%,87,38.90%,89,11.40%,7,12.60%,17,14.10%,75,16.50%,86,469,64,74,88,52.8,80,10,30,89.10%,24,89.10%,24,18.50%,87,31.30%,90,47.40%,79,66.80%,92,66.20%,92,60.40%,80,50.20%,97,30.80%,87,31.50%,90,"48,377",47,"42,000",64,46.50%,83,52.40%,75,83.70%,81,80.20%,25,4.40%,83,4.80%,90,791,91,740,91,0.865,95,0.865,93,730.2,63,711.2,62,"84,412",89,"82,221",87,7.00%
Bladen,"29,077",72,0.30%,72,-12.90%,91,"-4,310",93,38.44,84,38.43,83,22.50%,16,22.60%,17,19.80%,60,19.80%,58,6.80%,36,6.90%,36,43.10%,92,39.80%,92,15.50%,81,16.10%,76,14.70%,85,16.30%,83,862,13,282,56,76.4,97,25,53,87.20%,27,98.60%,15,22.40%,97,32.30%,87,50.70%,69,70.00%,82,70.50%,79,68.20%,73,47.20%,90,30.60%,85,35.50%,96,"47,567",51,"43,369",51,62.20%,53,61.00%,56,83.30%,70,82.90%,59,4.20%,79,4.10%,74,854,59,781,72,0.785,79,0.785,76,923.9,27,861,28,"117,695",50,"104,998",52,6.75%
Brunswick,"157,537",19,1.50%,19,39.80%,1,"44,852",6,53.09,1,52.71,1,14.40%,99,14.80%,98,32.30%,3,31.90%,4,9.00%,12,9.50%,11,21.70%,12,20.60%,15,11.70%,12,13.50%,37,11.20%,19,13.10%,27,714,26,"1,020",13,36.4,42,52,77,49.30%,70,49.50%,71,15.20%,60,47.80%,28,62.00%,27,88.70%,7,87.30%,9,99.30%,5,25.90%,9,18.40%,29,19.60%,41,"55,361",19,"52,706",16,63.60%,48,63.70%,48,78.30%,20,79.90%,23,4.00%,78,4.50%,82,927,32,873,32,0.342,5,0.485,11,1053.6,15,1060.3,12,"217,228",8,"218,626",7,6.75%
